Model Name,Train Score,Validation Score,Test Score (90 mins),Test Score (Softmax),Test Score (WC Playoff Model)
Baseline Model,0.5128543177323666,0.5684210526315789,0.5625,0.59375,0.578125
LDA,0.5247198417930126,0.5473684210526316,0.640625,0.671875,0.65625
Stacking,0.5662491760052736,0.5368421052631579,0.609375,0.625,0.640625
PCR,0.5042847725774555,0.5473684210526316,0.5625,0.578125,0.609375
PLS1-DA,0.5227422544495716,0.5552631578947368,0.640625,0.6875,0.65625
PLS2-DA,0.5181278839815425,0.5526315789473685,0.59375,0.625,0.65625
