name,temp,gdp_pp,population
bhutan,7.4,8720.0,807610.0
armenia,7.15,9098.0,2930450.0
china pr,6.95,16624.0,1409517397.0
slovakia,6.8,32895.0,5447662.0
kazakhstan,6.4,26071.0,18204499.0
austria,6.35,49247.0,8735453.0
belarus,6.15,18616.0,9468338.0
lithuania,6.2,31935.0,2890297.0
georgia,5.8,10644.0,3912061.0
korea dpr,5.7,,25490965.0
liechtenstein,5.65,,37922.0
latvia,5.6,27291.0,1949670.0
switzerland,5.5,61360.0,8476005.0
estonia,5.1,31473.0,1309632.0
sweden,2.1,51264.0,9910701.0
tajikistan,2.0,3131.0,8921343.0
iceland,1.75,52150.0,335025.0
finland,1.7,44050.0,5523231.0
kyrgyz republic,1.55,3652.0,6045117.0
norway,1.5,70590.0,5305383.0
mongolia,-0.7,12551.0,3075647.0
russia,-5.1,27890.0,143989754.0
canada,-5.35,48141.0,36624199.0
macau,,114430.0,622567.0
hong kong,,61016.0,7364883.0
chinese taipei,,49827.0,23626456.0
puerto rico,,37895.0,3663131.0
kosovo,,12003.0,
south sudan,,1503.0,12575714.0
palestine,,,4920724.0
new caledonia,,,276255.0
guam,,,164229.0
curaçao,,,160539.0
aruba,,,105264.0
us virgin islands,,,104901.0
cayman islands,,,61559.0
bermuda,,,61349.0
american samoa,,,55641.0
faroe islands,,,49290.0
turks and caicos islands,,,35446.0
gibraltar,,,34571.0
british virgin islands,,,31196.0
cook islands,,,17380.0
anguilla,,,14909.0
montserrat,,,5177.0
