game_date,home_team,away_team,home_score,away_score,tournament,country,neutral,overall_diff,attack_away_defence_home_diff,attack_diff,attack_home_defence_away_diff,defence_diff,midfield_diff,rank_diff,prestige_diff,growth_diff,full_age_diff,start_age_diff,value_euros_millions_diff,wage_euros_thousands_diff,goalkeeper_overall_diff,bup_dribbling_diff,bup_passing_diff,bup_speed_diff,cc_crossing_diff,cc_passing_diff,cc_shooting_diff,d_aggresion_diff,d_pressure_diff,d_width_diff,home_win,x_rating,y_rating,gdp_diff,is_home,raw_gdp_diff,wins_past_1_games_diff,win_momentum_past_1_games_diff,lose_momentum_past_2_games_diff,lose_momentum_past_4_games_diff,wins_home_against_away_5_games,wins_past_5_games_diff,wins_past_3_games_diff,wins_home_against_away_4_games,lose_momentum_past_3_games_diff,lose_momentum_past_1_games_diff,win_momentum_past_3_games_diff,wins_home_against_away_3_games,wins_past_2_games_diff,win_momentum_past_2_games_diff,wins_past_4_games_diff,wins_home_against_away_2_games,wins_home_against_away_1_games,lose_momentum_past_5_games_diff,win_momentum_past_5_games_diff,win_momentum_past_4_games_diff
2010-07-11 00:00:00+00:00,Netherlands,Spain,0,1,FIFA World Cup,South Africa,True,-5.0,7.0,-2.0,-1.0,-6.0,-3.0,2.0,-2.0,0.7466666666666661,1.2299999999999969,0.37000000000000105,-0.0,-0.0,-13.0,-0.0,5.0,-15.0,25.0,-0.0,1.0,15.0,-25.0,-30.0,-1,80.0,85.0,0.4930336348854249,0,19630.0,0.0,0.0,0.2,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.85,0.25,0.0,0.0,0.15000000000000002,0.8499999999999999,0.85
2014-06-28 00:00:00+00:00,Brazil,Chile,1,1,FIFA World Cup,Brazil,False,7.0,-8.0,6.0,11.0,13.0,6.0,-11.0,10.0,-1.0869565217391304,0.21999999999999886,0.629999999999999,-0.0,-0.0,1.0,10.0,6.0,-0.0,-8.0,-8.0,-0.0,-7.0,26.0,-8.0,1,83.0,76.0,-0.18839893493464915,1,-2511.0,1.0,0.76,0.10000000000000007,0.2700000000000001,0.5,0.4,0.3333333333333333,0.5,0.10000000000000007,0.17000000000000004,0.76,0.5,0.5,0.76,0.5,0.5,1.0,0.2700000000000001,1.5200000000000002,1.5200000000000002
2014-06-28 00:00:00+00:00,Colombia,Uruguay,2,0,FIFA World Cup,Brazil,True,-0.0,9.0,-7.0,1.0,-1.0,3.0,1.0,-6.0,0.6956521739130435,-0.6499999999999986,-1.3599999999999994,-0.0,-0.0,-6.0,5.0,-20.0,-25.0,18.0,-0.0,-2.0,9.0,14.0,12.0,1,77.0,77.0,-0.7360531698542817,0,-8634.0,1.0,0.77,0.23,0.0,0.5,-0.20000000000000007,0.0,0.5,0.0,0.23,0.0,0.5,0.5,0.77,0.0,0.5,0.0,-0.23,-0.77,0.0
2014-06-29 00:00:00+00:00,Netherlands,Mexico,2,1,FIFA World Cup,Brazil,True,4.0,4.0,5.0,10.0,1.0,3.0,-5.0,2.0,0.6956521739130435,-0.870000000000001,-0.37000000000000105,-0.0,-0.0,-0.0,-12.0,-9.0,4.0,-6.0,-13.0,-1.0,-8.0,2.0,-6.0,1,79.0,75.0,0.0,0,41394.0,1.0,0.75,0.0,0.040000000000000036,1.0,-0.2,-0.3333333333333333,1.0,-0.21,0.21,-0.79,1.0,0.0,-0.040000000000000036,0.0,1.0,1.0,-0.21,-0.79,-0.040000000000000036
2014-06-30 00:00:00+00:00,France,Nigeria,2,0,FIFA World Cup,Brazil,True,4.0,-2.0,4.0,9.0,7.0,5.0,-27.0,9.0,-1.0539130434782606,1.1900000000000013,1.1799999999999995,-0.0,-0.0,11.0,60.0,36.0,48.0,52.0,49.0,52.0,46.0,36.0,52.0,1,81.0,77.0,0.0,0,41304.0,1.0,0.81,0.23,0.23,0.0,0.4,0.0,0.0,0.0,0.23,0.0,0.0,0.5,0.81,0.25,0.0,0.0,0.4199999999999999,1.54,0.77
2014-07-01 00:00:00+00:00,Belgium,USA,2,1,FIFA World Cup,Brazil,True,7.0,-4.0,5.0,7.0,6.0,6.0,-2.0,-2.0,0.17391304347826075,-1.7800000000000011,-3.45,-0.0,-0.0,3.0,-1.0,-22.0,-11.0,-13.0,-10.0,-2.0,7.0,13.0,-2.0,1,81.0,74.0,0.0,0,-7033.0,0.0,0.0,0.3300000000000001,0.14000000000000012,0.5,0.0,0.3333333333333333,0.5,0.3300000000000001,0.07000000000000006,0.74,0.5,0.5,0.74,0.0,0.5,0.0,0.07000000000000006,0.0,0.0
2014-07-01 00:00:00+00:00,Argentina,Switzerland,1,0,FIFA World Cup,Brazil,True,5.0,-6.0,10.0,8.0,4.0,3.0,-1.0,7.0,-2.130434782608696,3.0,1.91,-0.0,-0.0,-8.0,19.0,-13.0,-16.0,-15.0,-7.0,25.0,10.0,13.0,-2.0,1,82.0,77.0,0.0,1,-73924.0,0.0,0.0,0.04999999999999993,0.04999999999999993,0.5,0.0,0.0,0.5,0.04999999999999993,0.04999999999999993,0.049999999999999815,0.5,0.0,0.0,0.0,0.5,0.0,0.04999999999999993,0.049999999999999815,0.049999999999999815
2014-07-04 00:00:00+00:00,France,Germany,0,1,FIFA World Cup,Brazil,True,-3.0,2.0,-0.0,1.0,-1.0,-5.0,15.0,-1.0,-0.21739130434782614,0.5199999999999996,-1.1799999999999995,-0.0,-0.0,-3.0,30.0,-1.0,-19.0,6.0,-3.0,-11.0,-11.0,-14.0,1.0,-1,81.0,84.0,-0.07650890294701862,0,-3544.0,1.0,0.84,0.18999999999999995,0.16000000000000006,0.0,0.2,0.3333333333333333,0.0,0.16000000000000006,0.18999999999999995,0.8099999999999999,0.0,0.5,0.8099999999999999,0.25,0.0,0.0,0.16000000000000006,0.8099999999999998,0.8099999999999999
2014-07-04 00:00:00+00:00,Brazil,Colombia,2,1,FIFA World Cup,Brazil,False,6.0,-7.0,5.0,7.0,9.0,3.0,-5.0,14.0,-1.652173913043478,0.3499999999999979,-0.5500000000000007,-0.0,-0.0,6.0,-0.0,13.0,12.0,-8.0,7.0,-11.0,-18.0,16.0,-8.0,1,83.0,77.0,0.42253534233421935,1,4174.0,-1.0,-0.77,-0.23,-0.23,0.0,-0.20000000000000007,-0.6666666666666667,0.0,-0.46,-0.23,-1.54,0.0,-0.5,-0.77,-0.25,0.0,0.0,-0.23,-0.8300000000000001,-0.77
2014-07-05 00:00:00+00:00,Argentina,Belgium,1,0,FIFA World Cup,Brazil,True,1.0,0.0,4.0,5.0,1.0,-0.0,-6.0,8.0,-1.4782608695652175,3.0799999999999983,2.7300000000000004,-0.0,-0.0,-12.0,29.0,3.0,2.0,-1.0,-15.0,35.0,13.0,12.0,2.0,1,82.0,81.0,0.0,1,-34426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009999999999999898,0.009999999999999787,0.009999999999999787
2014-07-08 00:00:00+00:00,Brazil,Germany,1,7,FIFA World Cup,Brazil,False,-1.0,-2.0,-0.0,1.0,3.0,-4.0,1.0,1.0,-1.391304347826087,1.9599999999999973,-0.08999999999999986,-0.0,-0.0,-5.0,40.0,11.0,-5.0,-4.0,5.0,-9.0,-20.0,11.0,-9.0,-1,83.0,84.0,0.0,1,-36004.0,1.0,0.84,0.18000000000000005,0.18000000000000005,0.0,0.4,0.3333333333333333,0.0,0.18000000000000005,0.17000000000000004,0.84,0.0,0.5,0.84,0.25,0.0,0.0,0.3400000000000001,1.6800000000000002,0.84
2014-07-09 00:00:00+00:00,Netherlands,Argentina,0,0,FIFA World Cup,Brazil,True,-3.0,9.0,-0.0,4.0,-5.0,-4.0,10.0,-1.0,1.4782608695652175,-2.6499999999999986,-1.1900000000000013,-0.0,-0.0,6.0,-32.0,6.0,25.0,16.0,14.0,-29.0,-5.0,-12.0,2.0,-1,79.0,82.0,0.0,-1,39031.0,0.0,0.0,0.0,-0.21,0.0,-0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,-0.21,-0.7899999999999996,-0.8200000000000001
2014-07-12 00:00:00+00:00,Brazil,Netherlands,0,3,FIFA World Cup,Brazil,False,4.0,0.0,-2.0,7.0,9.0,5.0,-12.0,3.0,-1.5652173913043477,1.8299999999999983,0.7300000000000004,-0.0,-0.0,4.0,32.0,3.0,5.0,-10.0,2.0,15.0,-13.0,13.0,-10.0,-1,83.0,79.0,0.0,1,-40128.0,0.0,0.0,0.0,-0.039999999999999925,0.0,0.0,-0.3333333333333333,0.0,-0.21,0.0,-0.79,0.0,0.0,0.0,0.0,0.0,0.0,-0.07999999999999985,0.0,0.0
2014-07-13 00:00:00+00:00,Germany,Argentina,1,0,FIFA World Cup,Brazil,True,2.0,3.0,-2.0,2.0,1.0,5.0,-3.0,1.0,1.3043478260869568,-2.7799999999999976,-0.37000000000000105,-0.0,-0.0,15.0,-40.0,-2.0,35.0,10.0,11.0,-5.0,2.0,-10.0,1.0,1,84.0,82.0,0.0,-1,34907.0,-1.0,-0.84,-0.3200000000000001,-0.3200000000000001,0.0,-0.6000000000000001,-1.0,0.0,-0.4800000000000001,-0.16000000000000006,-2.48,0.0,-1.0,-1.66,-0.5,0.0,0.0,-0.5000000000000001,-2.48,-1.66
