game_date,home_team,away_team,home_score,away_score,tournament,country,neutral,overall_diff,attack_away_defence_home_diff,attack_diff,attack_home_defence_away_diff,defence_diff,midfield_diff,rank_diff,prestige_diff,growth_diff,full_age_diff,start_age_diff,value_euros_millions_diff,wage_euros_thousands_diff,goalkeeper_overall_diff,bup_dribbling_diff,bup_passing_diff,bup_speed_diff,cc_crossing_diff,cc_passing_diff,cc_shooting_diff,d_aggresion_diff,d_pressure_diff,d_width_diff,home_win,gdp_diff,is_home,raw_gdp_diff,score_past_2_games_diff,score_past_4_games_diff,y_rating,score_conceded_past_1_games_diff,win_momentum_past_5_games_diff,score_conceded_past_4_games_diff,wins_past_3_games_diff,wins_past_5_games_diff,wins_home_against_away_1_games,score_past_3_games_diff,wins_past_4_games_diff,win_momentum_past_2_games_diff,score_conceded_past_3_games_diff,x_rating,score_past_1_games_diff,wins_home_against_away_3_games,win_momentum_past_1_games_diff,wins_home_against_away_4_games,score_conceded_past_2_games_diff,wins_past_2_games_diff,lose_momentum_past_1_games_diff,lose_momentum_past_4_games_diff,score_past_5_games_diff,lose_momentum_past_5_games_diff,lose_momentum_past_2_games_diff,win_momentum_past_4_games_diff,win_momentum_past_3_games_diff,wins_past_1_games_diff,wins_home_against_away_2_games,wins_home_against_away_5_games,score_conceded_past_5_games_diff,lose_momentum_past_3_games_diff
2006-10-07 00:00:00+00:00,Sweden,Spain,2,0,UEFA Euro qualification,Sweden,False,-9.0,12.0,-8.0,-4.0,-8.0,-9.0,8.0,-6.0,-0.34782608695652195,0.9600000000000009,2.5500000000000007,-0.0,-0.0,-6.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.4795830943817954,1,17558.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-10 00:00:00+00:00,Brazil,Ecuador,2,1,Friendly,Sweden,True,15.0,-15.0,14.0,17.0,18.0,17.0,-29.0,9.0,-5.180869565217392,-0.5999999999999979,-0.91,-0.0,-0.0,23.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.5678945080835195,0,2562.0,2.5,2.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,85.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.15000000000000002,-0.30000000000000004,2.5,-0.30000000000000004,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004
2006-10-11 00:00:00+00:00,Spain,Argentina,2,1,Friendly,Spain,False,2.0,2.0,2.0,3.0,-1.0,2.0,7.0,-1.0,-1.4452173913043476,0.14999999999999858,-2.3599999999999994,-0.0,-0.0,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.0,1,22555.0,-1.5,-1.5,83.0,-3.0,0.0,-3.0,0.0,0.0,0.0,-1.5,0.0,0.0,-3.0,85.0,-2.0,0.0,0.0,0.0,-3.0,0.0,0.020000000000000014,-0.13,-1.5,-0.13,-0.13,0.0,0.0,0.0,0.0,0.0,-3.0,-0.13
2006-10-11 00:00:00+00:00,Ukraine,Scotland,2,0,UEFA Euro qualification,Ukraine,False,1.0,9.0,1.0,3.0,-7.0,-3.0,-21.0,3.0,-0.04347826086956541,-0.259999999999998,-0.91,-0.0,-0.0,3.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,-2.899466487802047,1,-41332.0,-2.0,-2.0,74.0,1.0,-0.74,1.0,-1.0,-1.0,0.0,-2.0,-1.0,-0.74,1.0,75.0,-2.0,0.0,-0.74,0.0,1.0,-1.0,-0.25,-0.25,-2.0,-0.25,-0.25,-0.74,-0.74,-1.0,0.0,0.0,1.0,-0.25
2006-10-11 00:00:00+00:00,Austria,Switzerland,2,1,Friendly,Austria,False,-3.0,4.0,-6.0,-7.0,-5.0,-7.0,56.0,-1.0,-1.217391304347827,-0.2200000000000024,-0.7300000000000004,-0.0,-0.0,9.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,-0.35641051560283066,1,-17329.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-11 00:00:00+00:00,Poland,Portugal,2,1,UEFA Euro qualification,Poland,False,-7.0,10.0,-4.0,-7.0,-13.0,-10.0,26.0,-4.0,-0.26086956521739113,-0.3000000000000007,1.09,-0.0,-0.0,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,-0.7908696632635657,1,-10843.0,-1.0,-1.0,81.0,0.0,-0.74,-1.0,-0.5,-0.5,0.0,-1.0,-0.5,-0.74,-1.0,74.0,0.0,0.0,-0.74,0.0,-1.0,-0.5,-0.18999999999999995,-0.11999999999999987,-1.0,-0.11999999999999987,-0.11999999999999987,-0.74,-0.74,-1.0,0.0,0.0,-1.0,-0.11999999999999987
2006-10-11 00:00:00+00:00,Croatia,England,2,0,UEFA Euro qualification,Croatia,False,-8.0,8.0,-4.0,-6.0,-10.0,-11.0,20.0,-6.0,0.4573913043478264,1.4399999999999975,1.09,-0.0,-0.0,-9.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,-1.356270662098188,1,-32736.0,0.0,0.0,85.0,0.0,0.77,0.0,1.0,1.0,0.0,0.0,1.0,0.77,0.0,77.0,0.0,0.0,0.77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.77,0.77,1.0,0.0,0.0,0.0,0.0
2006-11-15 00:00:00+00:00,Switzerland,Brazil,1,2,Friendly,Switzerland,False,-9.0,7.0,-8.0,-9.0,-8.0,-11.0,14.0,-9.0,2.9634782608695653,-0.5700000000000003,-0.7199999999999989,-0.0,-0.0,-18.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1,0.0,1,51886.0,-0.5,-0.6666666666666667,73.0,0.0,0.73,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.6666666666666667,0.3333333333333333,0.73,0.0,85.0,1.0,0.0,0.73,0.0,0.0,0.5,0.27,-0.030000000000000027,-0.6666666666666667,-0.030000000000000027,0.12,0.73,0.73,1.0,0.0,0.0,0.0,-0.030000000000000027
2006-11-15 00:00:00+00:00,France,Greece,1,0,Friendly,France,False,8.0,-6.0,11.0,10.0,5.0,3.0,-11.0,5.0,3.0,-1.3000000000000007,-0.7300000000000004,-0.0,-0.0,8.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.4217714797650609,1,13042.0,0.5,0.5,75.0,-1.0,1.52,1.0,1.0,1.0,0.0,0.5,1.0,1.52,1.0,77.0,1.0,0.0,0.75,0.0,1.0,1.0,0.23,0.46,0.5,0.46,0.46,1.52,1.52,1.0,0.0,0.0,1.0,0.46
2006-11-15 00:00:00+00:00,Italy,Turkey,1,1,Friendly,Italy,False,6.0,-4.0,5.0,11.0,10.0,7.0,-19.0,7.0,-1.5182608695652178,2.2300000000000004,2.8200000000000003,-0.0,-0.0,13.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,1,25442.0,-1.0,-1.0,74.0,1.0,-0.74,-0.3333333333333335,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,-0.3333333333333333,-0.74,-0.3333333333333335,75.0,-1.0,0.0,-0.74,0.0,0.5,-0.5,-0.25,0.27,-1.0,0.27,0.010000000000000007,-0.74,-0.74,-1.0,0.0,0.0,-0.3333333333333335,0.27
