home_win,home_cur_year_avg_weighted,home_total_points,away_cur_year_avg_weighted,away_total_points,home_last_year_avg,away_last_year_avg,home_two_year_ago_avg,away_two_year_ago_avg,CAF,CONCACAF,CONMEBOL,OFC,UEFA,gdp_pp_diff,rank_diff
1,294.64,573.97,93.77,279.21,320.8,217.29,230.0,178.88,0,0,0,0,0,25655.0,-72
0,90.26,345.62,115.87,268.96,303.77,89.54,152.19,163.36,0,0,0,0,0,-4517.0,-21
1,123.7,347.93,217.29,396.18,198.81,178.88,258.36,115.67,0,0,0,0,0,-4517.0,14
2,121.19,331.55,121.59,313.95,201.88,200.98,183.98,227.04,0,0,0,0,0,-4517.0,-9
1,324.72,609.91,91.69,274.4,384.56,204.28,109.26,192.3,0,0,0,0,0,38259.0,-65
2,134.25,201.22,203.45,399.33,15.82,204.43,107.3,110.64,0,0,0,0,0,782.0,55
0,93.15,242.5,154.67,323.62,211.84,143.34,134.25,205.01,0,0,0,0,0,782.0,28
0,167.67,454.13,164.5,320.35,271.29,94.48,297.53,174.63,0,0,0,0,0,-10014.0,-29
2,167.67,454.13,164.5,320.35,271.29,94.48,297.53,174.63,0,0,0,0,0,-10014.0,-29
1,346.38,568.97,175.19,354.5,181.07,205.01,230.05,178.88,0,0,0,0,0,-10014.0,-43
2,96.99,186.7,217.29,396.18,122.15,178.88,38.22,115.67,0,0,0,0,0,-10128.0,64
2,30.64,58.28,178.88,356.97,0.0,115.67,54.18,273.75,0,0,0,0,0,-14704.0,94
1,191.91,487.02,115.87,268.96,226.44,89.54,308.12,163.36,0,0,0,0,0,22383.0,-45
1,171.15,412.54,227.04,393.1,328.17,118.8,179.55,209.46,0,0,0,0,0,51241.0,-2
1,258.77,513.46,121.59,313.95,275.43,200.98,171.15,227.04,0,0,0,0,0,51241.0,-43
2,175.93,308.34,0.0,168.06,143.12,102.2,125.74,317.68,0,0,0,0,0,51165.0,-44
0,131.81,281.94,149.72,240.07,151.92,0.0,132.87,123.7,0,0,0,0,0,51165.0,-12
1,206.42,368.52,0.0,168.06,143.46,102.2,152.71,317.68,0,0,0,0,0,124246.0,-60
2,171.06,374.16,142.07,306.53,239.06,290.04,170.23,53.78,0,0,0,0,0,124246.0,-26
2,477.21,697.81,133.36,287.82,219.34,229.83,240.77,131.82,1,0,0,0,0,1203.0,-69
1,172.67,280.02,109.69,258.5,129.55,199.45,63.41,163.6,0,0,0,0,0,18805.0,-9
1,64.83,268.54,16.51,190.99,163.04,210.59,278.15,174.04,0,0,0,0,0,16323.0,-22
2,157.68,336.98,260.31,354.43,205.01,138.76,178.88,0.0,0,0,0,0,0,16323.0,14
0,43.44,110.26,100.63,232.39,70.9,161.2,62.95,170.54,0,0,0,0,0,28190.0,38
1,292.06,622.63,141.9,282.94,358.14,124.31,344.68,226.87,0,0,0,0,0,41978.0,-59
1,149.55,263.35,283.58,355.68,111.25,42.12,117.92,16.51,0,0,0,0,0,7548.0,41
0,178.15,296.53,199.45,301.69,123.61,163.6,109.58,0.0,0,0,0,0,0,7548.0,7
0,103.38,183.4,42.12,139.39,54.18,16.51,93.67,131.92,0,0,0,0,0,17105.0,-14
1,85.58,234.93,133.36,287.82,211.84,229.83,134.25,131.82,0,0,0,0,0,17105.0,18
1,177.69,464.33,54.16,156.81,271.29,16.51,297.53,210.59,0,0,0,0,0,6309.0,-79
1,226.5,476.84,185.8,288.16,192.07,16.32,333.25,102.2,0,0,0,0,0,6309.0,-49
2,96.12,228.83,42.12,139.39,119.71,16.51,61.37,131.92,0,0,0,0,0,6195.0,-32
1,131.68,224.56,199.45,301.69,96.99,163.6,122.15,0.0,0,0,0,0,0,6195.0,23
0,89.04,117.09,53.78,151.05,28.67,16.51,19.35,131.92,0,0,0,0,0,1619.0,19
2,368.49,599.17,149.72,240.07,192.95,0.0,218.98,123.7,0,0,0,0,0,38706.0,-70
1,152.38,338.67,54.16,156.81,162.33,16.51,180.03,210.59,0,0,0,0,0,15943.0,-54
1,271.46,436.43,131.82,222.16,169.6,0.0,91.97,123.7,0,0,0,0,0,15943.0,-52
2,345.71,560.6,141.9,282.94,222.7,124.31,246.37,226.87,0,0,0,0,0,15943.0,-54
0,64.25,110.97,0.0,168.06,52.21,102.2,51.6,317.68,0,0,0,0,0,0.0,14
0,0.0,85.71,161.2,266.9,111.99,170.54,64.25,0.0,0,0,0,0,0,0.0,56
0,125.8,227.27,161.2,266.9,140.25,170.54,24.65,0.0,0,0,0,0,0,60335.0,14
2,69.45,179.46,142.07,306.53,176.18,290.04,58.76,53.78,0,0,0,0,0,60335.0,34
1,175.93,308.34,42.69,115.44,143.12,88.4,125.74,38.97,0,0,0,0,0,-38685.0,-57
1,151.41,289.46,81.14,166.81,131.81,96.95,151.92,69.52,0,0,0,0,0,-38685.0,-33
2,112.84,254.22,37.66,137.69,113.65,130.69,157.56,62.05,0,0,0,0,0,-38685.0,-36
1,175.53,344.45,96.95,161.65,186.94,69.52,128.35,81.7,0,0,0,0,0,34396.0,-60
1,205.39,405.78,43.15,133.57,209.95,89.25,198.79,86.33,0,0,0,0,0,34396.0,-77
1,255.33,426.47,88.37,151.84,167.45,61.94,217.98,85.49,0,0,0,0,0,-45067.0,-70
2,337.69,622.81,60.81,136.1,237.53,80.33,346.06,68.26,0,0,0,0,0,-47872.0,-102
2,153.0,270.74,29.75,121.99,116.93,123.52,117.3,42.69,0,0,0,0,0,-82302.0,-47
1,110.58,188.64,62.05,137.26,45.15,80.33,102.18,64.25,0,0,0,0,0,-72745.0,-11
1,102.47,206.87,29.75,121.99,159.46,123.52,15.82,42.69,0,0,0,0,0,-72745.0,-25
1,94.11,191.5,130.69,198.25,85.14,56.41,139.75,88.37,0,0,0,0,0,-88642.0,3
1,74.8,170.33,37.66,137.69,94.11,130.69,85.14,62.05,0,0,0,0,0,-88642.0,-7
1,70.83,221.49,43.15,133.57,234.96,89.25,67.58,86.33,0,0,0,0,0,-71851.0,-26
0,78.07,161.31,138.7,206.86,85.15,60.81,64.5,80.33,0,0,0,0,0,-84246.0,12
2,34.0,41.27,99.46,163.17,7.17,70.95,0.0,35.72,0,0,0,0,0,23899.0,37
1,7.08,101.56,99.46,163.17,119.76,70.95,79.86,35.72,0,0,0,0,0,-29515.0,15
1,132.88,220.51,89.25,176.44,123.1,86.33,7.08,99.46,0,0,0,0,0,-29515.0,-13
0,73.41,86.31,60.81,136.1,0.0,80.33,0.0,68.26,0,0,0,0,0,-86521.0,24
1,62.12,95.29,89.25,174.92,66.36,96.95,0.0,69.52,0,0,0,0,0,-86521.0,22
0,59.5,115.77,55.25,130.46,18.06,80.33,81.7,64.25,0,0,0,0,0,-85970.0,7
1,182.39,259.16,96.95,161.65,85.69,69.52,86.7,81.7,0,0,0,0,0,-89850.0,-38
1,224.17,356.6,29.75,121.99,186.08,123.52,64.5,42.69,0,0,0,0,0,-89850.0,-75
1,148.75,225.45,32.64,103.09,112.63,37.66,63.75,130.69,0,0,0,0,0,-40704.0,-37
2,175.93,308.34,206.42,368.52,143.12,143.46,125.74,152.71,0,0,0,0,0,-73081.0,16
2,119.77,381.3,186.94,348.19,241.48,128.35,229.31,184.71,1,0,0,0,0,-116315.0,-11
0,193.88,391.05,206.42,368.52,179.82,143.46,259.32,152.71,0,0,0,0,0,-79463.0,-5
1,288.23,437.62,117.24,328.69,91.69,210.6,235.5,239.31,0,0,0,0,0,-107923.0,-23
0,259.46,405.05,124.3,332.38,91.69,185.58,204.28,292.4,0,0,0,0,0,-107923.0,-18
1,318.76,674.41,255.0,424.52,437.18,175.53,255.56,186.94,0,0,0,0,0,-104897.0,-41
1,259.69,631.96,251.18,416.24,470.75,171.62,164.81,162.51,0,0,0,0,1,-112455.0,-38
0,240.08,246.42,216.47,432.51,8.29,251.99,0.0,175.53,0,0,0,0,1,-124246.0,51
0,257.72,436.97,255.0,424.52,102.61,175.53,242.16,186.94,0,0,0,0,0,-112440.0,-1
2,232.88,442.62,162.51,337.77,272.71,152.51,146.69,192.94,0,0,0,0,1,-109724.0,-15
2,176.91,340.65,206.42,368.52,187.16,143.46,152.36,152.71,0,0,0,0,0,-69664.0,9
0,176.91,340.65,206.42,368.52,187.16,143.46,152.36,152.71,0,0,0,0,0,-69664.0,9
1,324.59,560.86,198.84,415.12,239.19,292.4,196.06,137.84,0,0,0,0,0,-117937.0,-21
2,35.75,61.81,206.42,368.52,0.0,143.46,54.18,152.71,0,0,0,0,0,-122627.0,90
0,0.0,86.39,170.23,334.43,97.81,162.48,87.55,151.16,0,0,0,0,0,-105749.0,81
1,358.31,634.11,209.95,389.41,353.83,198.79,204.49,178.88,0,0,0,0,0,-85540.0,-38
1,158.99,350.77,292.4,440.99,244.98,141.62,189.38,150.66,0,0,0,0,0,-108303.0,16
2,220.83,419.26,184.94,385.38,229.77,219.63,184.71,206.42,0,0,0,0,0,-108303.0,-7
1,153.04,408.39,166.57,346.58,336.89,158.11,233.17,166.88,0,0,0,0,0,-56682.0,-12
0,104.55,169.04,173.25,347.41,25.8,186.94,118.73,128.35,0,0,0,0,0,-63911.0,57
0,79.69,79.69,219.63,397.48,0.0,206.42,0.0,143.46,0,0,0,0,0,-116207.0,95
1,247.42,422.63,216.47,432.51,206.7,251.99,182.39,175.53,0,0,0,0,0,-124246.0,2
1,101.66,249.49,131.57,323.33,166.27,264.67,106.47,95.85,0,0,0,0,0,-3417.0,20
1,224.18,324.5,297.06,455.05,89.6,149.41,63.5,189.2,0,0,0,0,1,-49606.0,24
0,157.68,336.98,360.64,539.73,205.01,160.94,178.88,222.79,0,0,0,0,0,-38259.0,52
1,253.64,405.94,219.26,521.5,91.69,324.72,204.28,384.56,0,0,0,0,0,-38259.0,21
0,50.89,114.6,160.94,349.52,67.13,222.79,64.5,158.89,0,0,0,0,0,-26392.0,76
0,207.94,516.47,126.65,444.66,233.69,360.2,302.92,380.91,1,0,0,0,0,-40113.0,-8
1,80.25,391.18,222.79,376.65,238.68,158.89,386.7,153.73,0,0,0,0,0,-5381.0,-4
1,393.55,681.26,360.2,635.74,314.5,380.91,281.35,135.09,0,0,0,0,0,-5381.0,-5
1,626.0,1336.7,194.21,493.79,600.01,324.72,764.94,384.56,0,0,0,0,1,-8962.0,-64
1,547.33,749.9,277.6,576.45,166.53,381.56,213.47,242.31,0,0,0,0,1,-33685.0,-27
1,84.64,302.73,297.06,455.05,203.6,149.41,103.14,189.2,0,0,0,0,1,-44619.0,28
1,775.06,1558.49,143.89,465.28,832.0,360.2,424.26,380.91,0,0,0,0,1,-5057.0,-66
1,310.71,601.08,381.56,593.21,342.73,242.31,249.61,176.91,0,0,0,0,0,-12604.0,-3
1,803.48,1446.38,277.6,576.45,557.78,381.56,771.75,242.31,0,0,0,0,1,-25005.0,-60
