,Player,Country,Pos,Birthday,Age,Caps,Club,Club Country
0,Essam El-Hadary,Egypt,GK,1973-01-15,45,158,Al-Taawoun,Saudi Arabia
1,Ali Gabr,Egypt,DF,1989-01-01,29,21,West Bromwich Albion,England
2,Ahmed Elmohamady,Egypt,DF,1987-09-09,30,78,Aston Villa,England
3,Omar Gaber,Egypt,MF,1992-01-30,26,24,Los Angeles FC,United States
4,Sam Morsy,Egypt,MF,1991-09-10,26,5,Wigan Athletic,England
5,Ahmed Hegazi,Egypt,DF,1991-01-25,27,45,West Bromwich Albion,England
6,Ahmed Fathy,Egypt,DF,1984-11-10,33,126,Al Ahly,Egypt
7,Tarek Hamed,Egypt,MF,1988-10-24,29,21,Zamalek,Egypt
8,Marwan Mohsen,Egypt,FW,1989-02-26,29,24,Al Ahly,Egypt
9,Mohamed Salah,Egypt,FW,1992-06-15,25,57,Liverpool,England
10,Kahraba,Egypt,FW,1994-04-13,24,19,Al-Ittihad,Saudi Arabia
11,Ayman Ashraf,Egypt,DF,1991-04-09,27,4,Al Ahly,Egypt
12,Mohamed Abdel-Shafy,Egypt,DF,1985-07-01,32,51,Al-Fateh,Saudi Arabia
13,Ramadan Sobhi,Egypt,FW,1997-01-23,21,23,Stoke City,England
14,Mahmoud Hamdy,Egypt,DF,1995-06-01,23,0,Zamalek,Egypt
15,Sherif Ekramy,Egypt,GK,1983-07-10,34,22,Al Ahly,Egypt
16,Mohamed Elneny,Egypt,MF,1992-07-11,25,61,Arsenal,England
17,Shikabala,Egypt,FW,1986-03-05,32,29,Al-Raed,Saudi Arabia
18,Abdallah Said,Egypt,MF,1985-07-13,32,36,KuPS,Finland
19,Saad Samir,Egypt,DF,1989-04-01,29,11,Al Ahly,Egypt
20,Trézéguet,Egypt,MF,1994-10-01,23,24,Kasımpaşa,Turkey
21,Amr Warda,Egypt,FW,1993-09-17,24,16,Atromitos,Greece
22,Mohamed El-Shenawy,Egypt,GK,1988-12-18,29,3,Al Ahly,Egypt
23,Igor Akinfeev,Russia,GK,1986-04-08,32,106,CSKA Moscow,Russia
24,Mário Fernandes,Russia,DF,1990-09-19,27,5,CSKA Moscow,Russia
25,Ilya Kutepov,Russia,DF,1993-07-29,24,7,Spartak Moscow,Russia
26,Sergei Ignashevich,Russia,DF,1979-07-14,38,122,CSKA Moscow,Russia
27,Andrei Semyonov,Russia,DF,1989-03-24,29,6,Akhmat Grozny,Russia
28,Denis Cheryshev,Russia,MF,1990-12-26,27,11,Villarreal,Spain
29,Daler Kuzyayev,Russia,MF,1993-01-15,25,6,Zenit Saint Petersburg,Russia
30,Yury Gazinsky,Russia,MF,1989-07-20,28,6,Krasnodar,Russia
31,Alan Dzagoev,Russia,MF,1990-06-17,27,57,CSKA Moscow,Russia
32,Fyodor Smolov,Russia,FW,1990-02-09,28,32,Krasnodar,Russia
33,Roman Zobnin,Russia,MF,1994-02-11,24,12,Spartak Moscow,Russia
34,Andrey Lunyov,Russia,GK,1991-11-13,26,3,Zenit Saint Petersburg,Russia
35,Fyodor Kudryashov,Russia,DF,1987-04-05,31,19,Rubin Kazan,Russia
36,Vladimir Granat,Russia,DF,1987-05-22,31,12,Rubin Kazan,Russia
