,Player,Country,Pos,Birthday,Age,Caps,Club,Club Country
37,Aleksei Miranchuk,Russia,MF,1995-10-17,22,18,Lokomotiv Moscow,Russia
38,Anton Miranchuk,Russia,MF,1995-10-17,22,6,Lokomotiv Moscow,Russia
39,Aleksandr Golovin,Russia,MF,1996-05-30,22,19,CSKA Moscow,Russia
40,Yuri Zhirkov,Russia,MF,1983-08-20,34,84,Zenit Saint Petersburg,Russia
41,Aleksandr Samedov,Russia,MF,1984-07-19,33,48,Spartak Moscow,Russia
42,Vladimir Gabulov,Russia,GK,1983-10-19,34,10,Club Brugge,Belgium
43,Aleksandr Yerokhin,Russia,MF,1989-10-13,28,17,Zenit Saint Petersburg,Russia
44,Artem Dzyuba,Russia,FW,1988-08-22,29,23,Arsenal Tula,Russia
45,Igor Smolnikov,Russia,DF,1988-08-08,29,27,Zenit Saint Petersburg,Russia
46,Abdullah Al-Mayouf,Saudi Arabia,GK,1987-01-23,31,11,Al-Hilal,Saudi Arabia
47,Mansoor Al-Harbi,Saudi Arabia,DF,1987-10-19,30,40,Al-Ahli,Saudi Arabia
48,Osama Hawsawi,Saudi Arabia,DF,1984-03-31,34,135,Al-Hilal,Saudi Arabia
49,Ali Al-Bulaihi,Saudi Arabia,DF,1989-11-21,28,4,Al-Hilal,Saudi Arabia
50,Omar Hawsawi,Saudi Arabia,DF,1985-09-27,32,42,Al-Nassr,Saudi Arabia
51,Mohammed Al-Breik,Saudi Arabia,DF,1992-09-15,25,11,Al-Hilal,Saudi Arabia
52,Salman Al-Faraj,Saudi Arabia,MF,1989-08-01,28,43,Al-Hilal,Saudi Arabia
53,Yahya Al-Shehri,Saudi Arabia,MF,1990-06-26,27,57,Leganés,Spain
54,Hattan Bahebri,Saudi Arabia,MF,1992-07-16,25,5,Al-Shabab,Saudi Arabia
55,Mohammad Al-Sahlawi,Saudi Arabia,FW,1987-01-10,31,40,Al-Nassr,Saudi Arabia
56,Abdulmalek Al-Khaibri,Saudi Arabia,MF,1986-03-13,32,36,Al-Hilal,Saudi Arabia
57,Mohamed Kanno,Saudi Arabia,MF,1994-09-22,23,6,Al-Hilal,Saudi Arabia
58,Yasser Al-Shahrani,Saudi Arabia,DF,1992-05-25,26,37,Al-Hilal,Saudi Arabia
59,Abdullah Otayf,Saudi Arabia,MF,1992-08-03,25,16,Al-Hilal,Saudi Arabia
60,Abdullah Al-Khaibari,Saudi Arabia,MF,1996-08-16,21,5,Al-Shabab,Saudi Arabia
61,Housain Al-Mogahwi,Saudi Arabia,MF,1988-03-24,30,18,Al-Ahli,Saudi Arabia
62,Taisir Al-Jassim,Saudi Arabia,MF,1984-07-25,33,132,Al-Ahli,Saudi Arabia
63,Salem Al-Dawsari,Saudi Arabia,MF,1991-08-19,26,33,Villarreal,Spain
64,Fahad Al-Muwallad,Saudi Arabia,FW,1994-09-14,23,45,Levante,Spain
65,Muhannad Assiri,Saudi Arabia,FW,1986-10-14,31,18,Al-Ahli,Saudi Arabia
66,Yasser Al-Mosailem,Saudi Arabia,GK,1984-02-27,34,32,Al-Ahli,Saudi Arabia
67,Mohammed Al-Owais,Saudi Arabia,GK,1991-10-10,26,6,Al-Ahli,Saudi Arabia
68,Motaz Hawsawi,Saudi Arabia,DF,1992-02-17,26,17,Al-Ahli,Saudi Arabia
69,Fernando Muslera,Uruguay,GK,1986-06-16,31,97,Galatasaray,Turkey
70,José Giménez,Uruguay,DF,1995-01-20,23,42,Atlético Madrid,Spain
71,Diego Godín,Uruguay,DF,1986-02-16,32,116,Atlético Madrid,Spain
72,Guillermo Varela,Uruguay,DF,1993-03-24,25,3,Peñarol,Uruguay
73,Carlos Sánchez,Uruguay,MF,1984-12-02,33,36,Monterrey,Mexico
74,Rodrigo Bentancur,Uruguay,MF,1997-06-25,20,7,Juventus,Italy
75,Cristian Rodríguez,Uruguay,MF,1985-09-30,32,105,Peñarol,Uruguay
76,Nahitan Nández,Uruguay,MF,1995-12-28,22,12,Boca Juniors,Argentina
77,Luis Suárez,Uruguay,FW,1987-01-24,31,98,Barcelona,Spain
78,Giorgian De Arrascaeta,Uruguay,FW,1994-06-01,24,14,Cruzeiro,Brazil
79,Cristhian Stuani,Uruguay,FW,1986-10-12,31,41,Girona,Spain
80,Martín Campaña,Uruguay,GK,1989-05-29,29,1,Independiente,Argentina
81,Gastón Silva,Uruguay,DF,1994-03-05,24,17,Independiente,Argentina
82,Lucas Torreira,Uruguay,MF,1996-02-11,22,3,Sampdoria,Italy
83,Matías Vecino,Uruguay,MF,1991-08-24,26,22,Inter Milan,Italy
84,Maxi Pereira,Uruguay,DF,1984-06-08,34,125,Porto,Portugal
85,Diego Laxalt,Uruguay,MF,1993-02-07,25,6,Genoa,Italy
86,Maxi Gómez,Uruguay,FW,1996-08-14,21,5,Celta Vigo,Spain
87,Sebastián Coates,Uruguay,DF,1990-10-07,27,30,Sporting CP,Portugal
88,Jonathan Urretaviscaya,Uruguay,FW,1990-03-19,28,4,Monterrey,Mexico
89,Edinson Cavani,Uruguay,FW,1987-02-14,31,101,Paris Saint-Germain,France
90,Martín Cáceres,Uruguay,DF,1987-04-07,31,76,Lazio,Italy
91,Martín Silva,Uruguay,GK,1983-03-25,35,11,Vasco da Gama,Brazil
92,Alireza Beiranvand,Iran,GK,1992-09-21,25,22,Persepolis,Iran
93,Mehdi Torabi,Iran,MF,1994-09-10,23,17,Saipa,Iran
94,Ehsan Hajsafi,Iran,DF,1990-02-25,28,94,Olympiacos,Greece
95,Rouzbeh Cheshmi,Iran,DF,1993-07-24,24,10,Esteghlal,Iran
96,Milad Mohammadi,Iran,DF,1993-09-29,24,19,Akhmat Grozny,Russia
97,Saeid Ezatolahi,Iran,MF,1996-10-01,21,25,Amkar Perm,Russia
98,Masoud Shojaei,Iran,MF,1984-06-09,34,74,AEK Athens,Greece
99,Morteza Pouraliganji,Iran,DF,1992-04-19,26,27,Al-Sadd,Qatar
100,Omid Ebrahimi,Iran,MF,1987-09-16,30,30,Esteghlal,Iran
101,Karim Ansarifard,Iran,FW,1990-04-03,28,64,Olympiacos,Greece
102,Vahid Amiri,Iran,MF,1988-04-02,30,36,Persepolis,Iran
103,Mohammad Rashid Mazaheri,Iran,GK,1989-05-18,29,3,Zob Ahan,Iran
104,Mohammad Reza Khanzadeh,Iran,DF,1991-05-11,27,11,Padideh,Iran
105,Saman Ghoddos,Iran,FW,1993-09-06,24,8,Östersund,Sweden
106,Pejman Montazeri,Iran,DF,1983-09-06,34,46,Esteghlal,Iran
107,Reza Ghoochannejhad,Iran,FW,1987-09-20,30,43,Heerenveen,Netherlands
108,Mehdi Taremi,Iran,FW,1992-07-18,25,26,Al-Gharafa,Qatar
109,Alireza Jahanbakhsh,Iran,FW,1993-08-11,24,38,AZ,Netherlands
110,Majid Hosseini,Iran,DF,1996-06-20,21,1,Esteghlal,Iran
111,Sardar Azmoun,Iran,FW,1995-01-01,23,33,Rubin Kazan,Russia
112,Ashkan Dejagah,Iran,FW,1986-07-05,31,46,Nottingham Forest,England
113,Amir Abedzadeh,Iran,GK,1993-04-26,25,1,Marítimo,Portugal
114,Ramin Rezaeian,Iran,DF,1990-03-21,28,28,Oostende,Belgium
115,Yassine Bounou,Morocco,GK,1991-04-05,27,11,Girona,Spain
116,Achraf Hakimi,Morocco,DF,1998-11-04,19,10,Real Madrid,Spain
117,Hamza Mendyl,Morocco,DF,1997-10-21,20,13,Lille,France
118,Manuel da Costa,Morocco,DF,1986-05-06,32,28,İstanbul Başakşehir,Turkey
119,Medhi Benatia,Morocco,DF,1987-04-17,31,57,Juventus,Italy
120,Romain Saïss,Morocco,DF,1990-03-26,28,24,Wolverhampton Wanderers,England
121,Hakim Ziyech,Morocco,MF,1993-03-19,25,18,Ajax,Netherlands
122,Karim El Ahmadi,Morocco,MF,1985-01-27,33,51,Feyenoord,Netherlands
123,Ayoub El Kaabi,Morocco,FW,1993-06-25,24,10,RS Berkane,Morocco
124,Younès Belhanda,Morocco,MF,1990-02-25,28,47,Galatasaray,Turkey
125,Fayçal Fajr,Morocco,MF,1988-08-01,29,23,Getafe,Spain
126,Munir Mohamedi,Morocco,GK,1989-05-10,29,27,Numancia,Spain
127,Khalid Boutaïb,Morocco,FW,1987-04-24,31,18,Yeni Malatyaspor,Turkey
128,Mbark Boussoufa,Morocco,MF,1984-08-15,33,59,Al-Jazira,United Arab Emirates
129,Youssef Aït Bennasser,Morocco,MF,1996-07-07,21,14,Caen,France
130,Nordin Amrabat,Morocco,MF,1987-03-31,31,44,Leganés,Spain
131,Nabil Dirar,Morocco,DF,1986-02-25,32,34,Fenerbahçe,Turkey
132,Amine Harit,Morocco,MF,1997-06-18,20,6,Schalke 04,Germany
133,Youssef En-Nesyri,Morocco,FW,1997-06-01,21,16,Málaga,Spain
134,Aziz Bouhaddouz,Morocco,FW,1987-03-30,31,15,FC St. Pauli,Germany
135,Sofyan Amrabat,Morocco,MF,1996-08-21,21,6,Feyenoord,Netherlands
136,Ahmed Reda Tagnaouti,Morocco,GK,1996-04-05,22,2,IR Tanger,Morocco
137,Mehdi Carcela,Morocco,MF,1989-07-01,28,20,Standard Liège,Belgium
138,Rui Patrício,Portugal,GK,1988-02-15,30,69,Sporting CP,Portugal
139,Bruno Alves,Portugal,DF,1981-11-27,36,96,Rangers,Scotland
140,Pepe,Portugal,DF,1983-02-26,35,95,Beşiktaş,Turkey
141,Manuel Fernandes,Portugal,MF,1986-02-05,32,14,Lokomotiv Moscow,Russia
142,Raphaël Guerreiro,Portugal,DF,1993-12-22,24,24,Borussia Dortmund,Germany
143,José Fonte,Portugal,DF,1983-12-22,34,31,Dalian Yifang,China
144,Cristiano Ronaldo,Portugal,FW,1985-02-05,33,150,Real Madrid,Spain
145,João Moutinho,Portugal,MF,1986-09-08,31,110,Monaco,France
146,André Silva,Portugal,FW,1995-11-06,22,23,Milan,Italy
147,João Mário,Portugal,MF,1993-01-19,25,36,West Ham United,England
148,Bernardo Silva,Portugal,MF,1994-08-10,23,25,Manchester City,England
149,Anthony Lopes,Portugal,GK,1990-10-01,27,7,Lyon,France
150,Rúben Dias,Portugal,DF,1997-05-14,21,1,Benfica,Portugal
151,William Carvalho,Portugal,MF,1992-04-07,26,43,Sporting CP,Portugal
152,Ricardo Pereira,Portugal,DF,1993-10-06,24,4,Porto,Portugal
153,Bruno Fernandes,Portugal,MF,1994-09-08,23,6,Sporting CP,Portugal
154,Gonçalo Guedes,Portugal,FW,1996-11-29,21,10,Valencia,Spain
155,Gelson Martins,Portugal,FW,1995-05-11,23,18,Sporting CP,Portugal
156,Mário Rui,Portugal,DF,1991-05-27,27,4,Napoli,Italy
157,Ricardo Quaresma,Portugal,FW,1983-09-26,34,77,Beşiktaş,Turkey
158,Cédric,Portugal,DF,1991-08-31,26,29,Southampton,England
159,Beto,Portugal,GK,1982-05-01,36,14,Göztepe,Turkey
160,Adrien Silva,Portugal,MF,1989-03-15,29,23,Leicester City,England
161,David de Gea,Spain,GK,1990-11-07,27,29,Manchester United,England
162,Dani Carvajal,Spain,DF,1992-01-11,26,15,Real Madrid,Spain
163,Gerard Piqué,Spain,DF,1987-02-02,31,98,Barcelona,Spain
164,Nacho,Spain,DF,1990-01-18,28,17,Real Madrid,Spain
165,Sergio Busquets,Spain,MF,1988-07-16,29,103,Barcelona,Spain
166,Andrés Iniesta,Spain,MF,1984-05-11,34,127,Barcelona,Spain
167,Saúl,Spain,MF,1994-11-21,23,10,Atlético Madrid,Spain
168,Koke,Spain,MF,1992-01-08,26,40,Atlético Madrid,Spain
169,Rodrigo,Spain,FW,1991-03-06,27,6,Valencia,Spain
170,Thiago,Spain,MF,1991-04-11,27,29,Bayern Munich,Germany
171,Lucas Vázquez,Spain,FW,1991-07-01,26,7,Real Madrid,Spain
172,Álvaro Odriozola,Spain,DF,1995-12-14,22,4,Real Sociedad,Spain
173,Kepa Arrizabalaga,Spain,GK,1994-10-03,23,1,Athletic Bilbao,Spain
174,César Azpilicueta,Spain,DF,1989-08-28,28,22,Chelsea,England
175,Sergio Ramos,Spain,DF,1986-03-30,32,152,Real Madrid,Spain
176,Nacho Monreal,Spain,DF,1986-02-26,32,22,Arsenal,England
177,Iago Aspas,Spain,FW,1987-08-01,30,10,Celta Vigo,Spain
178,Jordi Alba,Spain,DF,1989-03-21,29,62,Barcelona,Spain
179,Diego Costa,Spain,FW,1988-10-07,29,20,Atlético Madrid,Spain
180,Marco Asensio,Spain,MF,1996-01-21,22,12,Real Madrid,Spain
181,David Silva,Spain,FW,1986-01-08,32,121,Manchester City,England
182,Isco,Spain,MF,1992-04-21,26,28,Real Madrid,Spain
183,Pepe Reina,Spain,GK,1982-08-31,35,36,Napoli,Italy
184,Mathew Ryan,Australia,GK,1992-04-08,26,44,Brighton & Hove Albion,England
185,Milos Degenek,Australia,DF,1994-04-28,24,18,Yokohama F. Marinos,Japan
186,James Meredith,Australia,DF,1988-04-05,30,2,Millwall,England
187,Tim Cahill,Australia,FW,1979-12-06,38,106,Millwall,England
188,Mark Milligan,Australia,DF,1985-08-04,32,71,Al-Ahli,Saudi Arabia
189,Matthew Jurman,Australia,DF,1989-12-08,28,4,Suwon Samsung Bluewings,South Korea
190,Mathew Leckie,Australia,FW,1991-02-04,27,53,Hertha BSC,Germany
191,Massimo Luongo,Australia,MF,1992-09-25,25,36,Queens Park Rangers,England
192,Tomi Juric,Australia,FW,1991-07-22,26,35,Luzern,Switzerland
193,Robbie Kruse,Australia,FW,1988-10-05,29,64,VfL Bochum,Germany
194,Andrew Nabbout,Australia,FW,1992-12-17,25,4,Urawa Red Diamonds,Japan
195,Brad Jones,Australia,GK,1982-03-19,36,6,Feyenoord,Netherlands
196,Aaron Mooy,Australia,MF,1990-09-15,27,34,Huddersfield Town,England
197,Jamie Maclaren,Australia,FW,1993-07-29,24,6,Hibernian,Scotland
198,Mile Jedinak,Australia,MF,1984-08-03,33,76,Aston Villa,England
199,Aziz Behich,Australia,DF,1990-12-16,27,23,Bursaspor,Turkey
200,Daniel Arzani,Australia,FW,1999-01-04,19,2,Melbourne City,Australia
201,Danny Vukovic,Australia,GK,1985-03-27,33,1,Genk,Belgium
202,Josh Risdon,Australia,DF,1992-07-27,25,8,Western Sydney Wanderers,Australia
203,Trent Sainsbury,Australia,DF,1992-01-05,26,35,Grasshoppers,Switzerland
204,Dimitri Petratos,Australia,FW,1992-11-10,25,2,Newcastle Jets,Australia
205,Jackson Irvine,Australia,MF,1993-03-07,25,19,Hull City,England
206,Tom Rogic,Australia,MF,1992-12-16,25,37,Celtic,Scotland
207,Kasper Schmeichel,Denmark,GK,1986-11-05,31,35,Leicester City,England
208,Michael Krohn-Dehli,Denmark,MF,1983-06-06,35,59,Deportivo La Coruña,Spain
209,Jannik Vestergaard,Denmark,DF,1992-08-03,25,16,Borussia Mönchengladbach,Germany
210,Simon Kjær,Denmark,DF,1989-03-26,29,78,Sevilla,Spain
211,Jonas Knudsen,Denmark,DF,1992-09-16,25,3,Ipswich Town,England
212,Andreas Christensen,Denmark,DF,1996-04-10,22,16,Chelsea,England
213,William Kvist,Denmark,MF,1985-02-24,33,80,Copenhagen,Denmark
214,Thomas Delaney,Denmark,MF,1991-09-03,26,27,Werder Bremen,Germany
215,Nicolai Jørgensen,Denmark,FW,1991-01-15,27,31,Feyenoord,Netherlands
216,Christian Eriksen,Denmark,MF,1992-02-14,26,78,Tottenham Hotspur,England
217,Martin Braithwaite,Denmark,FW,1991-06-05,27,20,Bordeaux,France
218,Kasper Dolberg,Denmark,FW,1997-10-06,20,6,Ajax,Netherlands
219,Mathias Jørgensen,Denmark,DF,1990-04-23,28,12,Huddersfield Town,England
220,Henrik Dalsgaard,Denmark,DF,1989-07-27,28,11,Brentford,England
221,Viktor Fischer,Denmark,FW,1994-06-09,24,19,Copenhagen,Denmark
222,Jonas Lössl,Denmark,GK,1989-02-01,29,1,Huddersfield Town,England
223,Jens Stryger Larsen,Denmark,DF,1991-02-21,27,13,Udinese,Italy
224,Lukas Lerager,Denmark,MF,1993-07-12,24,4,Bordeaux,France
225,Lasse Schöne,Denmark,MF,1986-05-27,32,36,Ajax,Netherlands
226,Yussuf Poulsen,Denmark,FW,1994-06-15,23,28,RB Leipzig,Germany
227,Andreas Cornelius,Denmark,FW,1993-03-16,25,18,Atalanta,Italy
228,Frederik Rønnow,Denmark,GK,1992-08-04,25,6,Brøndby,Denmark
229,Pione Sisto,Denmark,FW,1995-02-04,23,14,Celta Vigo,Spain
230,Hugo Lloris,France,GK,1986-12-26,31,98,Tottenham Hotspur,England
231,Benjamin Pavard,France,DF,1996-03-28,22,6,VfB Stuttgart,Germany
232,Presnel Kimpembe,France,DF,1995-08-13,22,2,Paris Saint-Germain,France
233,Raphaël Varane,France,DF,1993-04-25,25,42,Real Madrid,Spain
234,Samuel Umtiti,France,DF,1993-11-14,24,19,Barcelona,Spain
235,Paul Pogba,France,MF,1993-03-15,25,54,Manchester United,England
236,Antoine Griezmann,France,FW,1991-03-21,27,54,Atlético Madrid,Spain
237,Thomas Lemar,France,FW,1995-11-12,22,12,Monaco,France
238,Olivier Giroud,France,FW,1986-09-30,31,74,Chelsea,England
239,Kylian Mbappé,France,FW,1998-12-20,19,15,Paris Saint-Germain,France
240,Ousmane Dembélé,France,FW,1997-05-15,21,12,Barcelona,Spain
241,Corentin Tolisso,France,MF,1994-08-03,23,9,Bayern Munich,Germany
242,N'Golo Kanté,France,MF,1991-03-29,27,24,Chelsea,England
243,Blaise Matuidi,France,MF,1987-04-09,31,67,Juventus,Italy
244,Steven Nzonzi,France,MF,1988-12-15,29,4,Sevilla,Spain
245,Steve Mandanda,France,GK,1985-03-28,33,27,Marseille,France
246,Adil Rami,France,DF,1985-12-27,32,35,Marseille,France
247,Nabil Fekir,France,FW,1993-07-18,24,12,Lyon,France
248,Djibril Sidibé,France,DF,1992-07-29,25,17,Monaco,France
249,Florian Thauvin,France,FW,1993-01-26,25,4,Marseille,France
250,Lucas Hernández,France,DF,1996-02-14,22,5,Atlético Madrid,Spain
251,Benjamin Mendy,France,DF,1994-07-17,23,7,Manchester City,England
252,Alphonse Areola,France,GK,1993-02-27,25,0,Paris Saint-Germain,France
253,Pedro Gallese,Peru,GK,1990-02-23,28,38,Veracruz,Mexico
254,Alberto Rodríguez,Peru,DF,1984-03-31,34,59,Atlético Junior,Colombia
255,Aldo Corzo,Peru,DF,1989-05-20,29,25,Universitario,Peru
256,Anderson Santamaría,Peru,DF,1992-01-10,26,4,Puebla,Mexico
257,Miguel Araujo,Peru,DF,1994-10-24,23,7,Alianza Lima,Peru
258,Miguel Trauco,Peru,DF,1992-08-25,25,27,Flamengo,Brazil
259,Paolo Hurtado,Peru,MF,1990-07-27,27,31,Vitória de Guimarães,Portugal
260,Christian Cueva,Peru,MF,1991-11-23,26,44,São Paulo,Brazil
261,Paolo Guerrero,Peru,FW,1984-01-01,34,88,Flamengo,Brazil
262,Jefferson Farfán,Peru,FW,1984-10-26,33,84,Lokomotiv Moscow,Russia
263,Raúl Ruidíaz,Peru,FW,1990-07-25,27,30,Morelia,Mexico
264,Carlos Cáceda,Peru,GK,1991-09-27,26,4,Deportivo Municipal,Peru
265,Renato Tapia,Peru,MF,1995-07-28,22,23,Feyenoord,Netherlands
266,Andy Polo,Peru,MF,1994-09-29,23,17,Portland Timbers,United States
267,Christian Ramos,Peru,DF,1988-11-04,29,66,Veracruz,Mexico
268,Wilder Cartagena,Peru,MF,1994-09-23,23,3,Veracruz,Mexico
269,Luis Advíncula,Peru,DF,1990-03-02,28,65,Lobos BUAP,Mexico
270,André Carrillo,Peru,FW,1991-06-14,27,45,Watford,England
271,Yoshimar Yotún,Peru,MF,1990-04-07,28,73,Orlando City,United States
272,Edison Flores,Peru,FW,1994-05-14,24,29,AaB,Denmark
273,José Carvallo,Peru,GK,1986-03-01,32,6,UTC,Peru
274,Nilson Loyola,Peru,DF,1994-10-26,23,3,Melgar,Peru
275,Pedro Aquino,Peru,MF,1995-04-13,23,13,Lobos BUAP,Mexico
276,Nahuel Guzmán,Argentina,GK,1986-02-10,32,6,UANL,Mexico
277,Gabriel Mercado,Argentina,DF,1987-03-18,31,20,Sevilla,Spain
278,Nicolás Tagliafico,Argentina,DF,1992-08-31,25,4,Ajax,Netherlands
279,Cristian Ansaldi,Argentina,DF,1986-09-20,31,5,Torino,Italy
280,Lucas Biglia,Argentina,MF,1986-01-30,32,57,Milan,Italy
281,Federico Fazio,Argentina,DF,1987-03-17,31,9,Roma,Italy
282,Éver Banega,Argentina,MF,1988-06-29,29,62,Sevilla,Spain
283,Marcos Acuña,Argentina,DF,1991-10-28,26,10,Sporting CP,Portugal
284,Gonzalo Higuaín,Argentina,FW,1987-12-10,30,71,Juventus,Italy
285,Lionel Messi,Argentina,FW,1987-06-24,30,124,Barcelona,Spain
286,Ángel Di María,Argentina,MF,1988-02-14,30,94,Paris Saint-Germain,France
287,Franco Armani,Argentina,GK,1986-10-16,31,0,River Plate,Argentina
288,Maximiliano Meza,Argentina,MF,1992-12-15,25,2,Independiente,Argentina
289,Javier Mascherano,Argentina,DF,1984-06-08,34,143,Hebei China Fortune,China
290,Enzo Pérez,Argentina,MF,1986-02-22,32,23,River Plate,Argentina
291,Marcos Rojo,Argentina,DF,1990-03-20,28,56,Manchester United,England
292,Nicolás Otamendi,Argentina,DF,1988-02-12,30,54,Manchester City,England
293,Eduardo Salvio,Argentina,DF,1990-07-13,27,9,Benfica,Portugal
294,Sergio Agüero,Argentina,FW,1988-06-02,30,85,Manchester City,England
295,Giovani Lo Celso,Argentina,MF,1996-04-09,22,5,Paris Saint-Germain,France
296,Paulo Dybala,Argentina,FW,1993-11-15,24,12,Juventus,Italy
297,Cristian Pavón,Argentina,MF,1996-01-21,22,5,Boca Juniors,Argentina
298,Willy Caballero,Argentina,GK,1981-09-28,36,3,Chelsea,England
299,Dominik Livaković,Croatia,GK,1995-01-09,23,1,Dinamo Zagreb,Croatia
300,Šime Vrsaljko,Croatia,DF,1992-01-10,26,35,Atlético Madrid,Spain
301,Ivan Strinić,Croatia,DF,1987-07-17,30,43,Sampdoria,Italy
302,Ivan Perišić,Croatia,FW,1989-02-02,29,66,Inter Milan,Italy
303,Vedran Ćorluka,Croatia,DF,1986-02-05,32,99,Lokomotiv Moscow,Russia
304,Dejan Lovren,Croatia,DF,1989-07-05,28,39,Liverpool,England
305,Ivan Rakitić,Croatia,MF,1988-03-10,30,92,Barcelona,Spain
306,Mateo Kovačić,Croatia,MF,1994-05-06,24,41,Real Madrid,Spain
307,Andrej Kramarić,Croatia,FW,1991-06-19,26,31,1899 Hoffenheim,Germany
308,Luka Modrić,Croatia,MF,1985-09-09,32,106,Real Madrid,Spain
309,Marcelo Brozović,Croatia,MF,1992-11-16,25,35,Inter Milan,Italy
310,Lovre Kalinić,Croatia,GK,1990-04-03,28,11,Gent,Belgium
311,Tin Jedvaj,Croatia,DF,1995-11-28,22,12,Bayer Leverkusen,Germany
312,Filip Bradarić,Croatia,MF,1992-01-11,26,4,Rijeka,Croatia
313,Duje Ćaleta-Car,Croatia,DF,1996-09-17,21,1,Red Bull Salzburg,Austria
314,Nikola Kalinić,Croatia,FW,1988-01-05,30,42,Milan,Italy
315,Mario Mandžukić,Croatia,FW,1986-05-21,32,83,Juventus,Italy
316,Ante Rebić,Croatia,FW,1993-09-21,24,16,Eintracht Frankfurt,Germany
317,Milan Badelj,Croatia,MF,1989-02-25,29,38,Fiorentina,Italy
318,Marko Pjaca,Croatia,FW,1995-05-06,23,16,Schalke 04,Germany
319,Domagoj Vida,Croatia,DF,1989-04-29,29,59,Beşiktaş,Turkey
320,Josip Pivarić,Croatia,DF,1989-01-30,29,19,Dynamo Kyiv,Ukraine
321,Danijel Subašić,Croatia,GK,1984-10-27,33,38,Monaco,France
322,Hannes Þór Halldórsson,Iceland,GK,1984-04-27,34,49,Randers,Denmark
323,Birkir Már Sævarsson,Iceland,DF,1984-11-11,33,79,Valur,Iceland
324,Samúel Friðjónsson,Iceland,MF,1996-02-22,22,4,Vålerenga,Norway
325,Albert Guðmundsson,Iceland,MF,1997-06-15,20,5,PSV Eindhoven,Netherlands
326,Sverrir Ingi Ingason,Iceland,DF,1993-08-05,24,20,Rostov,Russia
327,Ragnar Sigurðsson,Iceland,DF,1986-06-19,31,77,Rostov,Russia
328,Jóhann Berg Guðmundsson,Iceland,MF,1990-10-27,27,67,Burnley,England
329,Birkir Bjarnason,Iceland,MF,1988-05-27,30,67,Aston Villa,England
