home_win,attack_diff,bup_dribbling_diff,bup_passing_diff,bup_speed_diff,cc_crossing_diff,cc_passing_diff,cc_shooting_diff,d_aggresion_diff,d_pressure_diff,d_width_diff,defence_diff,full_age_diff,goalkeeeper_overall_diff,growth_diff,midfield_diff,overall_diff,prestige_diff,start_age_diff,value_euros_millions_diff,wage_euros_thousands_diff,attack_home_defence_away_diff,attack_away_defence_home_diff,cur_year_avg_weighted_diff,cur_year_avg_diff,last_year_avg_weighted_diff,last_year_avg_diff,previous_points_diff,rank_change_diff,rank_diff,three_year_ago_avg_diff,three_year_ago_weighted_diff,total_points_diff,two_year_ago_avg_diff,two_year_ago_weighted_diff
0,-3.0,-0.0,-5.0,-5.0,-15.0,5.0,-5.0,15.0,35.0,-0.0,-0.0,0.46999999999999886,3.0,0.8666666666666671,4.0,-1.0,4.0,2.6400000000000006,-0.0,-0.0,-1.0,2.0,-0.0,-0.0,-0.0,-0.0,34.0,-2.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-6.0,-0.0,20.0,-0.0,-10.0,5.0,-0.0,25.0,40.0,-15.0,-7.0,1.2300000000000004,-9.0,0.3407407407407419,1.0,-6.0,-3.0,2.1900000000000013,-0.0,-0.0,-4.0,9.0,-0.0,-0.0,-0.0,-0.0,-533.0,5.0,67.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-2.0,-0.0,15.0,-20.0,-5.0,7.0,-0.0,15.0,15.0,-5.0,-1.0,-0.030000000000001137,4.0,0.7000000000000011,4.0,-2.0,-0.0,2.1000000000000014,-0.0,-0.0,0.0,3.0,-0.0,-0.0,-0.0,-0.0,15.0,1.0,-3.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-10.0,-0.0,15.0,-0.0,10.0,-5.0,-0.0,15.0,5.0,-5.0,-8.0,1.0299999999999976,-11.0,2.466666666666666,-9.0,-8.0,-4.0,0.6400000000000006,-0.0,-0.0,-9.0,9.0,-0.0,-0.0,-0.0,-0.0,-670.0,-8.0,23.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-1.0,-0.0,10.0,5.0,5.0,-0.0,-35.0,15.0,-5.0,-35.0,-0.0,1.0,-6.0,0.9666666666666659,-1.0,-2.0,-0.0,0.10000000000000142,-0.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-510.0,-0.0,6.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-2.0,-0.0,32.0,5.0,-8.0,-11.0,5.0,1.0,-2.0,-13.0,-3.0,-0.370000000000001,-6.0,1.1333333333333329,-4.0,-3.0,-0.0,-0.8999999999999986,-0.0,-0.0,-1.0,4.0,-0.0,-0.0,-0.0,-0.0,-458.0,-0.0,4.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-2.0,-0.0,5.0,-15.0,25.0,-0.0,1.0,15.0,-25.0,-30.0,-6.0,1.2299999999999969,-13.0,0.7466666666666661,-3.0,-5.0,-2.0,0.370000000000001,-0.0,-0.0,-1.0,7.0,-0.0,-0.0,-0.0,-0.0,-344.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-7.0,50.0,6.0,-29.0,11.0,-34.0,-9.0,21.0,7.0,-19.0,-8.0,0.8699999999999974,-19.0,-0.959420289855073,-5.0,-9.0,-12.0,0.7300000000000004,7.393478260869564,34.17391304347826,-6.0,9.0,-0.0,-0.0,-0.0,-0.0,-617.0,-3.0,16.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-8.0,-0.0,10.0,-0.0,-5.0,-5.0,5.0,-0.0,-25.0,-15.0,-9.0,2.3299999999999983,-14.0,0.9666666666666659,-13.0,-10.0,-11.0,1.6400000000000006,-0.0,-0.0,-7.0,10.0,-0.0,-0.0,-0.0,-0.0,-743.0,-1.0,29.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-1.0,-0.0,-20.0,20.0,-20.0,-15.0,-30.0,-20.0,-0.0,5.0,-4.0,-2.330000000000002,-3.0,0.2666666666666666,-3.0,-4.0,-3.0,-1.0899999999999999,-0.0,-0.0,-2.0,3.0,-0.0,-0.0,-0.0,-0.0,139.0,1.0,-15.0,-0.0,-0.0,-0.0,-0.0,-0.0
