team,date,wage_euros_thousands,value_euros_millions,growth,goalkeeeper_overall
Peru,2016-12-12 00:00:00+00:00,5.956521739130435,1.159782608695652,4.0,74
Peru,2016-12-15 00:00:00+00:00,5.521739130434782,1.0728260869565216,4.0,74
Peru,2016-12-19 00:00:00+00:00,5.521739130434782,1.0728260869565216,4.0,74
Peru,2016-12-22 00:00:00+00:00,5.521739130434782,1.0728260869565216,4.0,74
Peru,2016-12-27 00:00:00+00:00,5.521739130434782,1.0728260869565216,4.0,74
Peru,2017-01-03 00:00:00+00:00,5.521739130434782,1.0728260869565216,4.0,74
Peru,2017-01-05 00:00:00+00:00,4.739130434782608,1.043478260869565,4.0,74
Peru,2017-01-09 00:00:00+00:00,4.739130434782608,1.043478260869565,4.0,74
Peru,2017-01-12 00:00:00+00:00,4.739130434782608,1.043478260869565,3.9565217391304346,74
Peru,2017-01-16 00:00:00+00:00,4.739130434782608,1.043478260869565,3.9565217391304346,74
Peru,2017-01-17 00:00:00+00:00,4.739130434782608,1.043478260869565,3.9565217391304346,74
Peru,2017-01-19 00:00:00+00:00,4.739130434782608,1.043478260869565,3.8260869565217392,74
Peru,2017-01-23 00:00:00+00:00,4.739130434782608,1.043478260869565,3.8260869565217392,74
Peru,2017-01-26 00:00:00+00:00,4.739130434782608,1.0739130434782609,3.652173913043478,74
Peru,2017-01-30 00:00:00+00:00,4.739130434782608,1.0739130434782609,3.652173913043478,74
Peru,2017-02-02 00:00:00+00:00,5.478260869565218,1.1184782608695651,3.1739130434782608,74
Peru,2017-02-06 00:00:00+00:00,5.478260869565218,1.1184782608695651,3.1739130434782608,74
Peru,2017-02-09 00:00:00+00:00,5.478260869565218,1.1184782608695651,3.1739130434782608,74
Peru,2017-02-14 00:00:00+00:00,5.478260869565218,1.1184782608695651,3.1739130434782608,74
Peru,2017-02-16 00:00:00+00:00,5.478260869565218,1.1239130434782607,3.4347826086956523,74
Peru,2017-02-20 00:00:00+00:00,5.478260869565218,1.1239130434782607,3.4347826086956523,74
Peru,2017-02-22 00:00:00+00:00,5.478260869565218,1.1195652173913044,3.391304347826087,74
Peru,2017-02-27 00:00:00+00:00,5.478260869565218,1.1195652173913044,3.391304347826087,74
Peru,2017-03-02 00:00:00+00:00,5.478260869565218,1.1195652173913044,3.391304347826087,74
Peru,2017-03-06 00:00:00+00:00,5.478260869565218,1.1195652173913044,3.391304347826087,74
Peru,2017-03-09 00:00:00+00:00,5.478260869565218,1.126086956521739,3.391304347826087,74
Peru,2017-03-13 00:00:00+00:00,5.478260869565218,1.126086956521739,3.391304347826087,74
Peru,2017-03-16 00:00:00+00:00,5.478260869565218,1.134782608695652,3.391304347826087,74
Peru,2017-03-20 00:00:00+00:00,5.478260869565218,1.134782608695652,3.391304347826087,74
Peru,2017-03-23 00:00:00+00:00,6.304347826086956,1.276086956521739,3.5217391304347827,74
Peru,2017-03-27 00:00:00+00:00,6.304347826086956,1.276086956521739,3.5217391304347827,74
Peru,2017-03-30 00:00:00+00:00,6.304347826086956,1.276086956521739,3.4782608695652173,74
Peru,2017-04-03 00:00:00+00:00,6.304347826086956,1.276086956521739,3.4782608695652173,74
Peru,2017-04-06 00:00:00+00:00,6.304347826086956,1.276086956521739,3.4782608695652173,74
Peru,2017-04-10 00:00:00+00:00,6.304347826086956,1.276086956521739,3.4782608695652173,74
Peru,2017-04-13 00:00:00+00:00,6.304347826086956,1.2782608695652176,3.4347826086956523,74
Peru,2017-04-18 00:00:00+00:00,6.304347826086956,1.2782608695652176,3.4347826086956523,74
Peru,2017-04-20 00:00:00+00:00,6.304347826086956,1.2782608695652176,3.4347826086956523,74
Peru,2017-04-24 00:00:00+00:00,6.304347826086956,1.2782608695652176,3.4347826086956523,74
Peru,2017-04-27 00:00:00+00:00,6.304347826086956,1.191304347826087,3.4347826086956523,74
Peru,2017-05-02 00:00:00+00:00,6.304347826086956,1.191304347826087,3.4347826086956523,74
Peru,2017-05-04 00:00:00+00:00,6.304347826086956,1.191304347826087,3.4347826086956523,74
Peru,2017-05-08 00:00:00+00:00,6.304347826086956,1.191304347826087,3.4347826086956523,74
Peru,2017-05-11 00:00:00+00:00,6.304347826086956,1.2260869565217392,3.4347826086956523,74
Peru,2017-05-15 00:00:00+00:00,6.304347826086956,1.2260869565217392,3.4347826086956523,74
Peru,2017-05-18 00:00:00+00:00,6.304347826086956,1.2260869565217392,3.4347826086956523,74
Peru,2017-05-22 00:00:00+00:00,6.304347826086956,1.2260869565217392,3.4347826086956523,74
Peru,2017-05-25 00:00:00+00:00,6.304347826086956,1.2260869565217392,3.391304347826087,74
Peru,2017-05-29 00:00:00+00:00,6.304347826086956,1.2260869565217392,3.391304347826087,74
Peru,2017-06-01 00:00:00+00:00,6.304347826086956,1.2260869565217392,3.391304347826087,74
Peru,2017-06-06 00:00:00+00:00,6.304347826086956,1.2260869565217392,3.391304347826087,74
Peru,2017-06-08 00:00:00+00:00,6.304347826086956,1.231521739130435,3.391304347826087,74
Peru,2017-06-12 00:00:00+00:00,6.304347826086956,1.231521739130435,3.391304347826087,74
Peru,2017-06-14 00:00:00+00:00,6.304347826086956,1.2097826086956522,3.3043478260869565,74
Peru,2017-06-19 00:00:00+00:00,6.304347826086956,1.2097826086956522,3.3043478260869565,74
Peru,2017-06-22 00:00:00+00:00,6.304347826086956,1.2097826086956522,3.3043478260869565,74
Peru,2017-06-26 00:00:00+00:00,6.304347826086956,1.2097826086956522,3.3043478260869565,74
Peru,2017-06-29 00:00:00+00:00,6.304347826086956,1.2097826086956522,3.3043478260869565,74
Peru,2017-07-03 00:00:00+00:00,6.304347826086956,1.2097826086956522,3.3043478260869565,74
