game_date,home_team,away_team,home_score,away_score,tournament,country,neutral,overall_diff,attack_away_defence_home_diff,attack_diff,attack_home_defence_away_diff,defence_diff,midfield_diff,rank_diff,prestige_diff,growth_diff,full_age_diff,start_age_diff,value_euros_millions_diff,wage_euros_thousands_diff,goalkeeper_overall_diff,bup_dribbling_diff,bup_passing_diff,bup_speed_diff,cc_crossing_diff,cc_passing_diff,cc_shooting_diff,d_aggresion_diff,d_pressure_diff,d_width_diff,home_win,wins_past_1_games_diff,wins_home_against_away_1_games,wins_past_2_games_diff,wins_home_against_away_2_games,wins_past_3_games_diff,wins_home_against_away_3_games,wins_past_4_games_diff,wins_home_against_away_4_games,wins_past_5_games_diff,wins_home_against_away_5_games,score_past_1_games_diff,score_conceded_past_1_games_diff,score_past_2_games_diff,score_conceded_past_2_games_diff,score_past_3_games_diff,score_conceded_past_3_games_diff,score_past_4_games_diff,score_conceded_past_4_games_diff,score_past_5_games_diff,score_conceded_past_5_games_diff
2006-09-06 00:00:00+00:00,France,Italy,3,1,UEFA Euro qualification,France,False,-0.0,2.0,3.0,4.0,-1.0,-2.0,2.0,-1.0,2.387826086956521,-1.0100000000000016,0.6400000000000006,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-06 00:00:00+00:00,Finland,Portugal,1,1,UEFA Euro qualification,Finland,False,-7.0,9.0,-6.0,-9.0,-12.0,-13.0,59.0,-9.0,-1.2608695652173911,0.4299999999999997,0.91,-0.0,-0.0,4.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,2.0,-2.0,2.0,-2.0,2.0,-2.0,2.0,-2.0
2006-09-06 00:00:00+00:00,Northern Ireland,Spain,3,2,UEFA Euro qualification,Northern Ireland,False,-16.0,20.0,-21.0,-17.0,-16.0,-16.0,65.0,-12.0,0.8695652173913038,0.7899999999999991,2.27,-0.0,-0.0,-16.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-07 00:00:00+00:00,Greece,Norway,1,0,UEFA Euro qualification,Greece,False,2.0,-4.0,3.0,4.0,5.0,4.0,-18.0,3.0,-2.347826086956522,0.39000000000000057,2.5500000000000007,-0.0,-0.0,9.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0
2006-10-07 00:00:00+00:00,Hungary,Turkey,0,1,UEFA Euro qualification,Hungary,False,-11.0,13.0,-12.0,-6.0,-7.0,-10.0,31.0,-5.0,-0.7826086956521738,1.6099999999999994,1.1000000000000014,-0.0,-0.0,-8.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0
2006-10-07 00:00:00+00:00,Italy,Ukraine,2,0,UEFA Euro qualification,Italy,False,10.0,-8.0,9.0,19.0,18.0,10.0,-8.0,5.0,-2.257391304347826,1.5799999999999983,1.4499999999999993,-0.0,-0.0,11.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0
2006-10-07 00:00:00+00:00,Australia,Paraguay,1,1,Friendly,Australia,False,1.0,4.0,-2.0,3.0,1.0,2.0,17.0,4.0,0.08695652173913082,1.6999999999999993,1.2699999999999996,-0.0,-0.0,4.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-07 00:00:00+00:00,Denmark,Northern Ireland,0,0,UEFA Euro qualification,Denmark,False,9.0,-11.0,13.0,12.0,10.0,10.0,-42.0,8.0,0.6956521739130439,0.870000000000001,-0.2699999999999996,-0.0,-0.0,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
2006-10-07 00:00:00+00:00,Scotland,France,1,0,UEFA Euro qualification,Scotland,False,-11.0,15.0,-13.0,-8.0,-10.0,-5.0,32.0,-7.0,-0.08695652173912992,-0.3099999999999987,-1.1799999999999995,-0.0,-0.0,-13.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
2006-10-07 00:00:00+00:00,Serbia,Belgium,1,0,UEFA Euro qualification,Serbia,False,2.0,1.0,4.0,2.0,-3.0,1.0,-18.0,2.0,1.1304347826086962,0.129999999999999,-1.1799999999999995,-0.0,-0.0,8.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
